Date,STATE,Unnamed: 0,V1,POC,Daily Max 8-hour CO Concentration,DAILY_AQI_VALUE,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,STATE_CODE
2016-01,Alabama,31744,31744,124,54.500000000000014,622,2134,8892,3915393,93
2016-01,Alaska,69626,69626,62,69.2,786,1477,6154,2610262,124
2016-01,Arizona,8200585,8200585,620,482.9999999999997,5532,14774,61555,26102620,2480
2016-01,Arkansas,972315,972315,62,14.300000000000004,168,739,3079,1305131,155
2016-01,California,140209698,140209698,3392,1298.9999999999989,14813,50940,212294,92327493,13158
2016-01,Colorado,25367581,25367581,336,220.40000000000026,2526,6462,26925,11535674,2192
2016-01,Connecticut,14838088,14838088,155,66.10000000000002,735,3628,15118,6525655,1395
2016-01,Delaware,3001296,3001296,31,17.400000000000006,198,739,3079,1305131,310
2016-01,District Of Columbia,6053525,6053525,62,55.09999999999999,625,1477,6154,2610262,682
2016-01,Florida,42912823,42912823,456,187.10000000000002,2119,9479,39497,17892925,5100
2016-01,Georgia,102816,102816,59,50.3,567,1389,5787,2483959,767
2016-01,Hawaii,241769,241769,124,52.19999999999997,594,2038,8497,3915393,1395
2016-01,Idaho,334459,334459,93,66.59999999999998,760,2195,9145,3915393,1488
2016-01,Illinois,351386,351386,78,22.4,247,1823,7595,3283878,1326
2016-01,Indiana,757137,757137,125,50.69999999999997,569,2913,12137,5262625,2250
2016-01,Iowa,661548,661548,90,26.699999999999985,294,1996,8319,3789090,1710
2016-01,Kansas,250046,250046,31,13.900000000000002,165,733,3054,1305131,620
2016-01,Kentucky,722370,722370,83,30.599999999999998,340,1892,7884,3494383,1743
2016-01,Louisiana,592441,592441,62,27.099999999999994,302,1447,6029,2610262,1364
2016-01,Maine,973431,973431,93,26.7,288,2094,8723,3915393,2139
2016-01,Maryland,2535211,2535211,155,57.09999999999996,625,3676,15316,6525655,3720
2016-01,Massachusetts,3388191,3388191,185,70.79999999999998,795,4278,17825,7788685,4625
2016-01,Michigan,5849173,5849173,279,116.70000000000002,1323,6636,27650,11746179,7254
2016-01,Minnesota,5054012,5054012,212,62.40000000000002,689,4819,20079,8925412,5724
2016-01,Mississippi,782657,782657,31,12.9,140,738,3075,1305131,868
2016-01,Missouri,2051584,2051584,79,31.099999999999994,363,1818,7575,3325979,2291
2016-01,Montana,1583760,1583760,183,13.799999999999983,145,1361,5671,2483959,1770
2016-01,Nebraska,1572242,1572242,57,28.199999999999996,319,1326,5524,2399757,1767
2016-01,Nevada,6306472,6306472,216,159.80000000000007,1820,5077,21155,9093816,6912
2016-01,New Hampshire,1911057,1911057,62,14.4,146,1476,6150,2610262,2046
2016-01,New Jersey,6070699,6070699,186,113.39999999999999,1292,4410,18375,7830786,6324
2016-01,New Mexico,2114138,2114138,62,27.599999999999987,312,1441,6004,2610262,2170
2016-01,New York,9951794,9951794,276,99.39999999999988,1105,6481,27003,11619876,9936
2016-01,North Carolina,2357674,2357674,186,26.099999999999994,295,1453,6054,2610262,2294
2016-01,North Dakota,1201591,1201591,31,6.600000000000002,66,726,3025,1305131,1178
2016-01,Ohio,17794925,17794925,431,162.39999999999978,1831,10118,42158,18145531,16809
2016-01,Oklahoma,4801680,4801680,108,40.800000000000004,451,2544,10600,4546908,4320
